Batch,w1,w2,w3,w4,w5,w6,w7,w8
5,3150,1988,1471,3132,1346,1319,1257,651
6,3010,1723,2395,1668,2626,1912,1208,762
7,2903,1405,5233,1135,1974,1259,1659,798
8,2805,2902,1477,1074,2042,1116,1119,500
9,2903,1442,2754,1429,2011,1282,1227,524
10,3097,2303,1370,1714,1412,1528,1335,652
11,3076,1160,2322,1402,1816,1229,934,765
12,2945,2242,1327,1170,1655,1245,1401,687
13,2897,1536,1029,1226,1507,1412,1605,765
14,2776,2252,561,1311,1533,1229,1441,676
15,2855,1322,2495,1120,1677,1229,1505,754
,,,,,,,,
